"Nhood","logFC","logCPM","F","PValue","FDR","SpatialFDR","Nhood_center","Celltype","Celltype_fraction"
7194,-1.31758521157426,6.77618400587117,7.72100856921355,0.00584899010678825,0.0166804660776995,0.0165347384897029,"147435","CD14 Monocyte",0.359223300970874
7195,-4.6503022137331,6.76384021871536,85.4525403175765,4.50014257170261e-14,1.33236860045371e-12,1.17517247886294e-12,"296822","CD4 Naive",0.5
7196,2.80480203870109,6.67584165461196,27.1864007949039,3.72663169805692e-07,3.75807056205367e-06,3.48766500729225e-06,"319631","CD4 Th17",0.351145038167939
7197,-3.28466087965641,6.84860596516831,50.2088328533698,1.25072441680345e-11,2.3888276056329e-10,2.08527903281135e-10,"398429","NK CD56dim CD57-",0.371621621621622
7198,-1.22121965296962,6.79211130568893,5.98304036783711,0.0150978958161215,0.0367054020376606,0.0365287609499763,"435392","NK CD56dim CD57int",0.303571428571429
7199,-0.930277950188075,6.62388065376613,4.21246883633305,0.0411109659003085,0.0833432717101703,0.0833214042957807,"388704","NK CD56dim CD57low",0.238805970149254
7200,1.18865377502227,6.70838973797274,5.14435099943951,0.0241279002057955,0.0539234468400362,0.0538573129315152,"182498","IgM Plasma B Cell",0.309278350515464
7201,0.807486914110545,6.82657930843876,2.1580827488104,0.143017130361682,0.228072511353747,0.228399980947295,"323378","CD4 Th17",0.451807228915663
7202,-0.296856839329858,6.62951765635231,0.386050093139089,0.534917548550091,0.636988906733235,0.637597360990351,"88049","cDC2",0.178082191780822
7203,-1.0090854837455,6.68595904767268,4.64975894440782,0.0319585687455258,0.0677766120231345,0.0677823055059109,"249350","CD4 Th17",0.573333333333333
7204,-4.01160123557567,6.62284415199461,120.103709084311,2.71415716631665e-23,5.85668515685542e-21,6.608700010433e-21,"24030","CD16 Monocyte",0.895348837209302
7205,0.60419116180316,6.89454214080841,1.19914614310134,0.274515418402549,0.381190284063409,0.381904114217539,"253583","CD4 Temra",0.21301775147929
7206,-0.354748679595874,6.98200515520149,0.477319979073371,0.490244026583372,0.596403206747743,0.596951176255262,"150280","CD14 Monocyte",0.471698113207547
7207,1.41942790703079,6.64604264740939,7.15468781256702,0.00795021305973609,0.0215649388742495,0.0213364415199806,"419192","NK CD56dim CD57+",0.415094339622642
7208,0.870916097698658,6.76151921451926,2.28153402454849,0.132332458930828,0.214449226355046,0.214648181393937,"369459","CD8 Tem GZMB+",0.235849056603774
7209,-1.38702513590928,6.65322658600561,8.84803285607609,0.00320482809205116,0.010084669404633,0.00995912002142302,"52715","CD14 Monocyte",0.857142857142857
7210,0.00684090560996504,7.10129890553775,0.000240189362531253,0.987646516967563,0.991638241190663,0.991914901039885,"150380","CD14 Monocyte",0.385
7211,-0.889021679998261,6.73470472245912,3.61834067948528,0.058230948843044,0.110596433106788,0.110428147944806,"330177","CD4 Tfh",0.327272727272727
7212,1.89710953417503,6.80222271862805,10.826553368624,0.00113646519294755,0.00418079687851612,0.00408108833611306,"127319","Switched memory B",0.305882352941176
7213,0.492785859339608,6.84433875313015,0.900460295246328,0.343523645985754,0.454278529780789,0.454689163288871,"253252","CD4 Terminal effector",0.163793103448276
7214,1.18066766803935,7.12604272655028,4.31941064472504,0.0386432277520532,0.0791195396229675,0.0790729440965017,"87705","cDC2",0.168316831683168
7215,-4.1666221475862,6.7696980240746,95.4051331662828,1.91252618170381e-19,1.32226202014697e-17,1.20132877648774e-17,"349679","NK CD56dim CD57-",0.388888888888889
7216,-0.484174895997281,7.07771453412396,0.987934518273031,0.321155222121606,0.431614441584382,0.43211183220436,"360539","CD8 Naive",0.204188481675393
7217,2.75057022377178,6.88194124139466,18.5020673044218,2.48863302211537e-05,0.000152371689311615,0.00014337879350773,"25716","CD14 Monocyte",0.962616822429907
7218,0.728264760714848,6.61482592095958,2.16335624361571,0.142523124357693,0.227428222839248,0.227760566417562,"17563","CD14 Monocyte",0.935483870967742
7219,-2.49652830578883,6.91308587546659,24.5527130495632,1.3245900114781e-06,1.11607034102824e-05,1.03800965360795e-05,"405603","NK CD56dim CD57int",0.565789473684211
7220,-3.91722965228011,6.62924265472078,104.039550365,8.05873406953866e-21,7.41538812907118e-19,6.96162167880769e-19,"125738","Naive B",0.241379310344828
7221,-0.202887946553825,6.57751287119604,0.193814579264334,0.66011974547238,0.744480344282418,0.744205461091496,"133358","IgM Plasma B Cell",0.245283018867925
7222,-0.988063695393878,6.81183715686353,3.70571590295774,0.05532453779693,0.106063344481939,0.105832678952935,"37111","CD14 Monocyte",0.945454545454545
7223,2.69566859038122,6.80915984960747,20.5002612822102,9.02076833101957e-06,6.14915440805742e-05,5.73395773820051e-05,"317628","CD4 Th17",0.497237569060773
7224,0.585954254875648,6.79975150012309,1.35266033884363,0.245860708932469,0.349171710061727,0.349520030677944,"452891","CD14 Monocyte",0.303571428571429
7225,-0.791107336835099,6.95777248481423,2.36887009400385,0.124980643686157,0.204839605237659,0.204958619763552,"253229","CD4 Tfh",0.213414634146341
7226,-2.0796086640182,6.89588435303828,19.6745476146858,1.34734361143941e-05,8.81031385728387e-05,8.24184164299249e-05,"379424","CD8 Tcm CCR4-",0.270676691729323
7227,2.08042964617827,6.65918157752013,15.3319935160027,0.000114783322062474,0.000581586009620913,0.000554400976829134,"185702","Naive-IFN B",0.527777777777778
7228,0.385189872642931,6.74098103853785,0.593958318196349,0.441579694454665,0.551378277120727,0.551636774057803,"355440","NK CD56dim CD57int",0.560344827586207
7229,-0.0032796279604709,6.69587086926563,0.000136554575095526,0.990685388154199,0.993579323398413,0.993729744004102,"54962","CD14 Monocyte",0.902912621359223
7230,-0.626180885594436,6.73542014986131,1.80345782706334,0.18044510390695,0.274320882805609,0.274919813841719,"264939","CD4 Tfh",0.148148148148148
7231,0.925055639099409,6.80768417490715,3.04527248548837,0.0821327138450452,0.14637511554195,0.146269474822459,"166461","Switched memory B",0.317460317460317
7232,-2.05385367199187,6.78135724258757,18.9803198792484,1.89056797381601e-05,0.00011935337894586,0.00011203179226661,"125729","CD16 Monocyte",0.201680672268908
7233,0.432082222379829,6.94232026724409,0.591346666758437,0.44264900455641,0.552349192900386,0.552705739363049,"407265","NK CD56dim CD57low",0.291891891891892
7234,-1.69161674169698,6.66671305949195,12.0052029579633,0.000628080733092786,0.00251330543430006,0.00244108329201962,"335255","CD4 Th17",0.394495412844037
7235,1.15302172648501,6.60445923860155,5.27726478505199,0.0223861718410797,0.0507368974915795,0.0506088981001532,"420204","NK CD56dim CD57int",0.344086021505376
7236,-0.83119587399677,6.75471692002164,2.85090834881763,0.0924997147495914,0.160953639446981,0.161035134255768,"65394","CD16 Monocyte",0.428571428571429
7237,0.922048521461707,6.93122308434857,3.01215570311614,0.0838057880026751,0.148765353971625,0.148677041957815,"284630","CD14 Monocyte",0.185430463576159
7238,0.272853232703301,6.71172424801459,0.210345384470649,0.646941040773336,0.73312978958989,0.733037727820049,"49930","Intermediate monocytes",1
7239,-2.84665136134712,6.78506686333262,38.2413554367924,2.35769150733587e-09,3.55050945164774e-08,3.1450897074623e-08,"53469","CD14 Monocyte",0.897435897435897
7240,-4.20879146335575,6.63790220366876,81.2528658120875,1.2618748632353e-13,3.1238322824001e-12,2.70988210795676e-12,"396650","CD8 Naive",0.288888888888889
7241,2.06705705421808,6.91517540554197,13.9437715200349,0.000230629661559298,0.00106007316048057,0.00101739968436329,"211425","CD4 Naive",0.419354838709677
7242,2.13336934677411,6.87176889916185,15.4535238674326,0.000108016530770869,0.000551303844401307,0.000525426630660586,"468652","Platelets",0.710144927536232
7243,-0.341381987450874,7.24384016573514,0.443573789220035,0.50598241689119,0.610997335049466,0.611737878120543,"237550","CD4 Naive",0.820175438596491
7244,1.48678930678632,6.6105789504631,8.68114646971048,0.00350148341797619,0.0108534954544926,0.0107199758646944,"299485","CD4 Terminal effector",0.583333333333333
7245,-3.90091555767315,6.85615910592182,72.2497605877143,1.40145405548847e-15,5.31375430465889e-14,4.71032692264606e-14,"51528","CD16 Monocyte",0.963235294117647
7246,-0.119890519157758,6.64323475547656,0.0604156478660935,0.806030623402794,0.860288414132566,0.859794705861649,"267337","CD4 Terminal effector",0.25609756097561
7247,1.60231792367873,6.92920751359891,8.69926294068445,0.00346796366109269,0.0107656563069155,0.0106335626324272,"115460","CD14 Monocyte",0.213333333333333
7248,0.738457268360949,6.63822617332798,2.31034333660177,0.129708918614199,0.211009534591507,0.211180378285039,"318122","CD4 Tfh",0.26
