module,clone_status,pt_mid,median_score_z,ci_low,ci_high,n_participants,n_cells
GZMK_inflammatory_memory,Singleton,0.8455,0.0025556655000491166,-0.0971228940461765,0.09671886563557179,145,632
GZMK_inflammatory_memory,Singleton,0.946,0.06734348724169022,-0.014359170533202242,0.12762844565150627,129,589
Th1_Tc1,Expanded,0.06821,-0.1488540159429687,-0.26987827638387585,0.10298116940620301,32,75
Th1_Tc1,Expanded,0.17149999999999999,-0.18680252466187233,-0.2776772460297405,0.12937938373782765,35,83
Th1_Tc1,Expanded,0.262,-0.10945792484941654,-0.24435098627351656,0.13862310239028336,47,104
Th1_Tc1,Expanded,0.357,0.04593782194413637,-0.1262659061512902,0.11299023982230628,66,154
Th1_Tc1,Expanded,0.453,-0.03944641852178254,-0.1597847060578835,0.10138105149658785,66,158
Th1_Tc1,Expanded,0.5509999999999999,0.09468707514505442,-0.00031206513041790395,0.25286601316455176,72,201
Th1_Tc1,Expanded,0.651,0.2407487818254346,0.013604026042626857,0.42194043403986314,69,198
Th1_Tc1,Expanded,0.7495,0.27825321615886855,0.1555019292483814,0.4599856672554964,67,219
Th1_Tc1,Expanded,0.8455,0.3329824737262426,0.2624993833749045,0.4808341400717581,75,270
Th1_Tc1,Expanded,0.946,0.3584430144824987,0.26352230863050646,0.4668122461189208,75,314
Th1_Tc1,Singleton,0.06821,-0.3748251584827493,-0.4548340988574436,-0.32123272334443254,153,828
Th1_Tc1,Singleton,0.17149999999999999,-0.35510699853338457,-0.4467081307285363,-0.28577082859755826,159,819
Th1_Tc1,Singleton,0.262,-0.2677235675612309,-0.38840479363288144,-0.23325235829255572,153,798
Th1_Tc1,Singleton,0.357,-0.2312922554099917,-0.2788629333198661,-0.16987731187300087,158,748
Th1_Tc1,Singleton,0.453,-0.27630543401615604,-0.31724004857688015,-0.189432749258646,160,744
