participant,tissue,disease,module,expansion_bin,value,n_cells
C33,pBMC,healthy,Plasma differentiation,2,0.3733877228434639,76
C33,pBMC,healthy,Plasma differentiation,3–4,0.3896081325233516,26
C33,pBMC,healthy,Plasma differentiation,≥5,0.9448426937498642,5
C33,pBMC,healthy,Antibody secretion/UPR,1,1.0157380157126563,444
C33,pBMC,healthy,Antibody secretion/UPR,2,0.6997430555946258,76
C33,pBMC,healthy,Antibody secretion/UPR,3–4,0.9184620842552995,26
C33,pBMC,healthy,Antibody secretion/UPR,≥5,1.5589174253604625,5
C33,pBMC,healthy,IgA mucosal,1,0.443891191533882,444
C33,pBMC,healthy,IgA mucosal,2,0.0,76
C33,pBMC,healthy,IgA mucosal,3–4,0.0,26
C33,pBMC,healthy,IgA mucosal,≥5,0.5845940345101734,5
C33,pBMC,healthy,IgG inflammatory,1,0.825166344861435,444
C33,pBMC,healthy,IgG inflammatory,2,0.49683149981868446,76
C33,pBMC,healthy,IgG inflammatory,3–4,0.495864895938811,26
C33,pBMC,healthy,IgG inflammatory,≥5,0.5379272606835996,5
C33,pBMC,healthy,Cycling B,1,0.5061210047171747,444
C33,pBMC,healthy,Cycling B,2,0.0,76
C33,pBMC,healthy,Cycling B,3–4,0.0,26
C33,pBMC,healthy,Cycling B,≥5,0.0,5
C9,R,healthy,Plasma differentiation,1,3.4757916902681174,32
C9,R,healthy,Plasma differentiation,2,3.143059009762383,8
C9,R,healthy,Plasma differentiation,3–4,3.5510572947794934,3
C9,R,healthy,Plasma differentiation,≥5,2.7873702419581177,26
C9,R,healthy,Antibody secretion/UPR,1,2.822186940640795,32
C9,R,healthy,Antibody secretion/UPR,2,2.4718211797024137,8
C9,R,healthy,Antibody secretion/UPR,3–4,2.4036452425829156,3
C9,R,healthy,Antibody secretion/UPR,≥5,2.0707722937468027,26
C9,R,healthy,IgA mucosal,1,4.034921179643737,32
C9,R,healthy,IgA mucosal,2,3.6380485997653933,8
C9,R,healthy,IgA mucosal,3–4,4.22139741172941,3
C9,R,healthy,IgA mucosal,≥5,3.8086148488465357,26
C9,R,healthy,IgG inflammatory,1,2.384712788307633,32
C9,R,healthy,IgG inflammatory,2,2.342079834865166,8
C9,R,healthy,IgG inflammatory,3–4,1.9083948822818464,3
C9,R,healthy,IgG inflammatory,≥5,2.011245163677833,26
C9,R,healthy,Cycling B,1,0.1991947350380172,32
C9,R,healthy,Cycling B,2,0.0,8
C9,R,healthy,Cycling B,3–4,0.0,3
C9,R,healthy,Cycling B,≥5,0.0,26
U34,R,UC,Plasma differentiation,1,3.2866045747396773,660
U34,R,UC,Plasma differentiation,2,3.1737307181194416,138
U34,R,UC,Plasma differentiation,3–4,3.004015254068325,107
U34,R,UC,Plasma differentiation,≥5,2.758167566426595,32
U34,R,UC,Antibody secretion/UPR,1,2.983348676984249,660
