outcome,module,model,estimate_per_program_SD,SE,ci_low,ci_high,p_value,n_lineages,n_participants,outcome_scale,FDR
Diversified-lineage branch length,cell_cycle_proliferating_B_cell,IBD_stratified,-0.020560456374274644,0.03227272063272102,-0.08381498881440784,0.04269407606585855,0.5240696773544701,689,93,outcome SD,0.748670967649243
Class-switched lineage,IgA_mucosal_plasma_cell,participant_fixed_effect,0.022179293224515693,0.002531410798377844,0.01721772805969512,0.02714085838933627,1.9244136930295275e-18,25413,182,probability,2.0013633582481402e-17
Class-switched lineage,IgA_mucosal_plasma_cell,plus_pseudotime,0.024272394420140987,0.0024840054077383666,0.01940374382097379,0.029141045019308184,1.492643138819625e-22,25413,182,probability,1.4926431388196251e-21
Class-switched lineage,IgA_mucosal_plasma_cell,IBD_vs_control_interaction,-0.00607612005142462,0.008324844264471451,-0.022392814809788664,0.010240574706939426,0.4654648073195463,25413,182,probability,0.5818310091494329
Class-switched lineage,IgA_mucosal_plasma_cell,Control_stratified,0.02984284278232649,0.007940382836025349,0.014279692423716807,0.04540599314093617,0.00017102849118392867,3705,24,probability,0.0005700949706130956
Class-switched lineage,IgA_mucosal_plasma_cell,IBD_stratified,0.023158062691605613,0.002646567583391131,0.017970790228158996,0.02834533515505223,2.129271637113533e-18,21708,158,probability,2.1292716371135328e-17
Class-switched lineage,plasmablast_plasma_cell_differentiation,participant_fixed_effect,0.02027950811624561,0.002493259812858407,0.015392718883043131,0.025166297349448086,4.1627091383448063e-16,25413,182,probability,2.775139425563204e-15
Class-switched lineage,plasmablast_plasma_cell_differentiation,plus_pseudotime,0.02369194370218341,0.0024216320918097364,0.018945544802236324,0.028438342602130493,1.325967895952542e-22,25413,182,probability,1.4926431388196251e-21
Class-switched lineage,plasmablast_plasma_cell_differentiation,IBD_vs_control_interaction,0.0005907277520497646,0.007214718888025533,-0.013550121268480278,0.014731576772579809,0.934743619040754,25413,182,probability,0.9347436190407541
Class-switched lineage,plasmablast_plasma_cell_differentiation,Control_stratified,0.023621798999014086,0.006733267141810344,0.010424595401065813,0.03681900259696236,0.0004511116604820305,3705,24,probability,0.0011277791512050762
Class-switched lineage,plasmablast_plasma_cell_differentiation,IBD_stratified,0.023655442870950737,0.0026644621410876986,0.01843309707441885,0.028877788667482626,6.7993378331142505e-19,21708,158,probability,1.35986756662285e-17
Class-switched lineage,antibody_secretion_UPR,participant_fixed_effect,-0.0053733543836096435,0.0023469518739234517,-0.00997338005649961,-0.0007733287107196778,0.022050118396053874,25413,182,probability,0.0882004735842155
Class-switched lineage,antibody_secretion_UPR,plus_pseudotime,-0.001529231207386756,0.0022653010415066405,-0.005969221248739771,0.002910758833966259,0.4996328537732373,25413,182,probability,0.6834780724020538
Class-switched lineage,antibody_secretion_UPR,IBD_vs_control_interaction,-0.0032490637021117125,0.005917944653196614,-0.014848235222377075,0.00835010781815365,0.5829924518504621,25413,182,probability,0.6477693909449579
Class-switched lineage,antibody_secretion_UPR,Control_stratified,0.0016213617276361293,0.005419796386565306,-0.009001439190031869,0.012244162645304129,0.7648214251439658,3705,24,probability,0.8498015834932953
Class-switched lineage,antibody_secretion_UPR,IBD_stratified,-0.001314464697515829,0.0025392449646241626,-0.006291384828179187,0.00366245543314753,0.6046957450687165,21708,158,probability,0.7710838864818335
Class-switched lineage,IgG_inflammatory_plasma_cell,participant_fixed_effect,-0.004778392783389641,0.002770493187944556,-0.01020855943176097,0.0006517738649816892,0.08457353445549746,25413,182,probability,0.2416386698728499
Class-switched lineage,IgG_inflammatory_plasma_cell,plus_pseudotime,-0.002182402469212014,0.002688560008532914,-0.007451980085936525,0.003087175147512497,0.4169428076697599,25413,182,probability,0.6834780724020538
Class-switched lineage,IgG_inflammatory_plasma_cell,IBD_vs_control_interaction,-0.010059866145378063,0.008600837986210976,-0.026917508598351576,0.006797776307595449,0.24214671551819833,25413,182,probability,0.5003443334124772
Class-switched lineage,IgG_inflammatory_plasma_cell,Control_stratified,0.006916587835890256,0.008145536946262757,-0.009048664578784749,0.022881840250565263,0.3958111412123406,3705,24,probability,0.4947639265154258
Class-switched lineage,IgG_inflammatory_plasma_cell,IBD_stratified,-0.0035244127879577847,0.002808885713413917,-0.009029828786249063,0.0019810032103334927,0.20957425523567075,21708,158,probability,0.4191485104713415
Class-switched lineage,cell_cycle_proliferating_B_cell,participant_fixed_effect,-0.005086107548196062,0.0024200888463734326,-0.00982948168708799,-0.00034273340930413357,0.03558656100247321,25413,182,probability,0.11862187000824403
Class-switched lineage,cell_cycle_proliferating_B_cell,plus_pseudotime,-0.0035854623717146566,0.0023707486425656307,-0.008232129711143293,0.0010612049677139797,0.13043834166365995,25413,182,probability,0.3735098715588596
Class-switched lineage,cell_cycle_proliferating_B_cell,IBD_vs_control_interaction,-0.004535687276440514,0.005507000028905793,-0.01532940733309587,0.006258032780214842,0.41015427878819033,25413,182,probability,0.5818310091494329
Class-switched lineage,cell_cycle_proliferating_B_cell,Control_stratified,0.0006243089921521196,0.004944129920925392,-0.009066185652861648,0.010314803637165887,0.8995160082075658,3705,24,probability,0.8995160082075658
Class-switched lineage,cell_cycle_proliferating_B_cell,IBD_stratified,-0.0037951786307811397,0.002680488137983027,-0.009048935381227873,0.0014585781196655928,0.15681838881044882,21708,158,probability,0.34848530846766407
Cross-state occupancy,IgA_mucosal_plasma_cell,participant_fixed_effect,0.08604202871696917,0.06210544285061224,-0.035684639270230814,0.20776869670416914,0.16592454110314592,225,54,outcome SD,0.36872120245143536
Cross-state occupancy,IgA_mucosal_plasma_cell,plus_pseudotime,0.09712593346587114,0.06477929658436689,-0.02984148783948795,0.22409335477123024,0.1337864794016794,225,54,outcome SD,0.3735098715588596
Cross-state occupancy,IgA_mucosal_plasma_cell,IBD_stratified,0.10955862193701668,0.06545590698351424,-0.018734955750671217,0.23785219962470458,0.09417434314663714,206,47,outcome SD,0.26906955184753467
Cross-state occupancy,plasmablast_plasma_cell_differentiation,participant_fixed_effect,0.062238398793486596,0.05406578453485412,-0.043730538894827475,0.16820733648180067,0.2496661874939946,225,54,outcome SD,0.44051496040406923
Cross-state occupancy,plasmablast_plasma_cell_differentiation,plus_pseudotime,0.07850316246979058,0.05853332145600578,-0.03622214758398075,0.1932284725235619,0.17986511041633635,225,54,outcome SD,0.3735098715588596
Cross-state occupancy,plasmablast_plasma_cell_differentiation,IBD_stratified,0.08901574221877741,0.058902057301851635,-0.026432290092851793,0.2044637745304066,0.13072473259543763,206,47,outcome SD,0.32681183148859405
Cross-state occupancy,antibody_secretion_UPR,participant_fixed_effect,0.03740895509566044,0.033512629414582155,-0.02827579855692059,0.10309370874824147,0.26430897624244154,225,54,outcome SD,0.44051496040406923
Cross-state occupancy,antibody_secretion_UPR,plus_pseudotime,0.056297359886347806,0.03622557261223771,-0.014704762433638108,0.12729948220633372,0.12016584874010905,225,54,outcome SD,0.3735098715588596
Cross-state occupancy,antibody_secretion_UPR,IBD_stratified,0.06812602777158361,0.03524922582545645,-0.0009624548463110227,0.13721451038947824,0.053273693163386655,206,47,outcome SD,0.21309477265354665
Cross-state occupancy,IgG_inflammatory_plasma_cell,participant_fixed_effect,0.07972376628411885,0.061813782698641816,-0.041431247805219104,0.2008787803734568,0.19714061946846373,225,54,outcome SD,0.39428123893692746
Cross-state occupancy,IgG_inflammatory_plasma_cell,plus_pseudotime,0.08968165928479752,0.062273249638794534,-0.03237391000723977,0.2117372285768348,0.14983024007990126,225,54,outcome SD,0.3735098715588596
Cross-state occupancy,IgG_inflammatory_plasma_cell,IBD_stratified,0.10792387877396863,0.06376677091242998,-0.017058992214394136,0.2329067497623314,0.09055480598025652,206,47,outcome SD,0.26906955184753467
Cross-state occupancy,cell_cycle_proliferating_B_cell,participant_fixed_effect,-0.06453573905287668,0.07001637491035033,-0.20176783387716332,0.07269635577140995,0.3566728126589447,225,54,outcome SD,0.5487274040906841
Cross-state occupancy,cell_cycle_proliferating_B_cell,plus_pseudotime,-0.05693535527271239,0.07158319056057776,-0.19723840877144477,0.08336769822602001,0.4263964127323526,225,54,outcome SD,0.6834780724020538
Cross-state occupancy,cell_cycle_proliferating_B_cell,IBD_stratified,-0.07412414274084966,0.07976337880881867,-0.23046036520613425,0.08221207972443492,0.3527334090928431,206,47,outcome SD,0.5878890151547386
