roc_auc,balanced_accuracy,accuracy,brier,sensitivity,specificity,modality,task,outer_fold,n_test,best_params
0.8666666666666667,0.6,0.8260869565217391,0.16789282054678142,1.0,0.2,tcr,cd_vs_control,8,23,"{""clf__C"": 10, ""select__percentile"": 25}"
0.9777777777777777,0.6,0.8260869565217391,0.11989212914779514,1.0,0.2,tcr,cd_vs_control,9,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.5,0.782608695652174,0.13675357438692948,1.0,0.0,tcr,cd_vs_control,10,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.7763157894736842,0.5,0.8260869565217391,0.1663745116655728,1.0,0.0,tcr,cd_vs_control,11,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
1.0,0.5,0.782608695652174,0.21056859407405784,1.0,0.0,tcr,cd_vs_control,12,23,"{""clf__C"": 0.1, ""select__percentile"": 100}"
0.9777777777777779,0.7,0.8695652173913043,0.11322696726360372,1.0,0.4,tcr,cd_vs_control,13,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9888888888888889,0.6,0.8260869565217391,0.13881905519427978,1.0,0.2,tcr,cd_vs_control,14,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
0.9777777777777777,0.5,0.782608695652174,0.16196319874238926,1.0,0.0,tcr,cd_vs_control,15,23,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.7,0.8421052631578947,0.10115983085718257,1.0,0.4,tcr,uc_vs_control,1,19,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.625,0.8333333333333334,0.060104575894318085,1.0,0.25,tcr,uc_vs_control,2,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.6,0.7777777777777778,0.07758009066682642,1.0,0.2,tcr,uc_vs_control,3,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.6,0.7777777777777778,0.11247590472048079,1.0,0.2,tcr,uc_vs_control,4,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.5,0.7222222222222222,0.11641668056278068,1.0,0.0,tcr,uc_vs_control,5,18,"{""clf__C"": 0.1, ""select__percentile"": 25}"
1.0,0.7,0.8421052631578947,0.06929916922756317,1.0,0.4,tcr,uc_vs_control,6,19,"{""clf__C"": 0.1, ""select__percentile"": 25}"
